id,Summary,Component,Status,Owner,Type,Priority,Milestone,Version,Severity,Resolution,Created,Modified,Actual Points,Parent ID,Points,Reviewer,Sponsor,Reporter,Keywords
19836,Prepare relay descriptor downloader for consensuses published at :30 of the hour,Metrics/CollecTor,assigned,metrics-team,defect,Low,,,Normal,,4 ago. 2016 20:27:25,28 sep. 2017 13:57:28,,,,,,karsten,
20236,Make changes to bridgedescs module for bulk-processing tarballs,Metrics/CollecTor,assigned,metrics-team,enhancement,Low,,,Normal,,24 sep. 2016 08:50:36,28 sep. 2017 13:57:28,,,,,,karsten,metrics-2018
20325,Perform available space check using the partition recent is located on,Metrics/CollecTor,assigned,metrics-team,enhancement,Low,,,Normal,,9 oct. 2016 11:02:00,25 ene. 2018 15:51:54,,,,,,iwakeh,"metrics-help, metrics-2018"
21993,Consensus Health: are an authority's measurements higher or lower than others?,Metrics/Consensus Health,reopened,tom,enhancement,Low,,,Normal,,19 abr. 2017 06:58:05,2 abr. 2018 08:48:49,,,,,,teor,
23934,Add tweet templates for platform diversity,Metrics/Bot,assigned,metrics-team,enhancement,Low,,,Minor,,21 oct. 2017 17:40:28,15 feb. 2018 23:32:07,,,0.2,,,irl,
23935,Add tweet templates for running versions,Metrics/Bot,assigned,metrics-team,enhancement,Low,,,Minor,,21 oct. 2017 17:42:11,13 feb. 2018 18:57:11,,,0.2,,,irl,
23936,Add tweet templates about users of Tor,Metrics/Bot,assigned,metrics-team,enhancement,Low,,,Minor,,21 oct. 2017 17:46:05,8 feb. 2018 12:32:58,,,,,,irl,
23937,Add tweet templates about events in the Tor network,Metrics/Bot,assigned,metrics-team,enhancement,Low,,,Minor,,21 oct. 2017 17:50:33,13 feb. 2018 18:57:50,,,0,,,irl,
23983,Add middle-only line to Relays by relay flag graph,Metrics/Website,new,metrics-team,enhancement,Low,,,Normal,,25 oct. 2017 09:47:59,29 oct. 2017 11:22:52,,,,,,cypherpunks,
24069,Maintain a copy of the previous details document,Metrics/Bot,assigned,metrics-team,enhancement,Low,,,Normal,,30 oct. 2017 14:44:29,15 feb. 2018 23:32:07,,#23937,1,,,irl,
