id,Summary,Component,Status,Owner,Type,Priority,Milestone,Version,Severity,Resolution,Created,Modified,Actual Points,Parent ID,Points,Reviewer,Sponsor,Reporter,Keywords
20518,Make various architecture improvements and modernizations,Metrics/CollecTor,assigned,metrics-team,enhancement,Medium,,,Normal,,1 nov. 2016 11:52:05,28 sep. 2017 13:57:28,,,,,,iwakeh,metrics-2018
20519,Untangle and modernize relaydescs module,Metrics/CollecTor,assigned,metrics-team,enhancement,Medium,,,Normal,,1 nov. 2016 12:13:19,28 sep. 2017 13:57:28,,#20518,,,,iwakeh,metrics-2018
20540,Define common log levels for all Java codebases,Metrics,assigned,metrics-team,enhancement,Medium,,,Normal,,2 nov. 2016 10:30:08,22 dic. 2017 10:08:54,,,,,,iwakeh,metrics-2018
20542,Structure and modernize bridgedescs module,Metrics/CollecTor,assigned,metrics-team,enhancement,Medium,,,Normal,,2 nov. 2016 12:53:26,25 ene. 2018 15:51:54,,#20518,,,,iwakeh,metrics-2018
20543,Restructure exitlists module,Metrics/CollecTor,assigned,metrics-team,enhancement,Medium,,,Normal,,2 nov. 2016 13:29:22,28 sep. 2017 13:57:28,,#20518,,,,iwakeh,metrics-2018
20546,Implement CleanUtils class for common file system operations,Metrics/CollecTor,assigned,metrics-team,enhancement,Medium,,,Normal,,3 nov. 2016 08:34:17,2 abr. 2018 08:53:19,,#20518,,,,iwakeh,"metrics-help, metrics-2018"
20548,Handle bad input more consistently in metrics code bases,Metrics,assigned,metrics-team,enhancement,Medium,,,Normal,,3 nov. 2016 11:28:10,28 sep. 2017 13:57:28,,,,,,karsten,metrics-2018
20550,Implement SanitizedBridgeExtraInfoDescriptor class that encapsulates the sanitizing logic for bridge extra-info descriptors,Metrics/CollecTor,assigned,metrics-team,enhancement,Medium,,,Normal,,3 nov. 2016 11:32:12,28 sep. 2017 13:57:28,,#20542,,,,iwakeh,metrics-2018
20983,Stop sanitizing contact information from bridge descriptors,Metrics/CollecTor,new,metrics-team,enhancement,Medium,,,Normal,,15 dic. 2016 09:58:58,22 dic. 2017 10:08:54,,,,,,cypherpunks,metrics-2018
21087,Separate truncated descriptor(s) from next complete descriptor,Metrics/CollecTor,accepted,wulder,defect,Medium,,,Normal,,26 dic. 2016 19:25:53,10 abr. 2019 09:05:07,,,,,,atagar,"metrics-help, metrics-2018"
21171,Write a test for NodeDetailsStatusUpdater,Metrics/Onionoo,new,metrics-team,enhancement,Medium,,,Normal,,9 ene. 2017 10:33:28,20 sep. 2017 14:17:36,,,,,,iwakeh,metrics-help
21219,Remove old descriptor files from out/ after archiving,Metrics/CollecTor,assigned,metrics-team,enhancement,Medium,,,Normal,,13 ene. 2017 19:36:16,25 ene. 2018 15:51:54,,#20518,,,,tom,metrics-2018
21354,Make Onionoo more memory-efficient,Metrics/Onionoo,new,metrics-team,enhancement,Medium,,,Normal,,30 ene. 2017 21:32:12,22 dic. 2017 10:08:54,,,,,,karsten,metrics-2018
21365,Investigate whether descriptor parsing is guaranteed to be thread-safe,Metrics/Library,assigned,metrics-team,task,Medium,,,Normal,,1 feb. 2017 12:52:24,18 may. 2018 10:36:05,,,,,,iwakeh,metrics-2018
21378,Archive bwauth bandwidth files,Metrics/CollecTor,assigned,metrics-team,project,Medium,,,Normal,,2 feb. 2017 16:03:01,17 abr. 2019 15:13:09,,,,,,tom,"tor-bwauth,tor-dirauth,metrics-roadmap-2019-q2"
21389,Support searches for effective family (strict and non strict maching),Metrics/Onionoo,new,metrics-team,enhancement,Medium,,,Normal,,3 feb. 2017 14:36:49,20 sep. 2017 20:10:35,,,,,,cypherpunks,
21515,Add auxiliary data on Tor relays and bridges to CollecTor,Metrics/CollecTor,new,metrics-team,enhancement,Medium,,,Normal,,20 feb. 2017 15:00:25,1 jul. 2018 14:49:05,,,,,,karsten,metrics-geoip
21701,Make it clearer that graphs showing bridge users by country and by country and transport are not the same,Metrics/Website,new,metrics-team,enhancement,Medium,,,Normal,,10 mar. 2017 09:44:38,22 dic. 2017 10:08:54,,,,,,teor,metrics-2018
21883,Perform one-off analysis for number of relays a bwauth decided the median for,Metrics/Analysis,needs_information,tom,defect,Medium,,,Normal,,6 abr. 2017 18:55:14,2 abr. 2018 08:48:49,,,,,,Sebastian,metrics-2018
21909,Add metadata about used geoip data,Metrics/Onionoo,assigned,metrics-team,enhancement,Medium,,,Normal,,10 abr. 2017 15:13:20,1 jul. 2018 14:49:05,,,,,,cypherpunks,"metrics-2018, metrics-geoip"
21933,Fix deserialization of UTF-8 characters in details statuses and documents,Metrics/Onionoo,new,metrics-team,defect,Medium,,,Normal,,13 abr. 2017 09:45:03,19 sep. 2018 23:31:52,,,,,,karsten,metrics-2018
22026,Create new service to retrieve raw documents,Metrics/Ideas,new,metrics-team,enhancement,Medium,,,Normal,,20 abr. 2017 21:31:42,13 jun. 2018 14:11:02,,,,,,irl,
22062,Bad requests do not add the Access-Control-Allow-Origin header,Metrics/Onionoo,new,metrics-team,defect,Medium,,,Normal,,25 abr. 2017 14:32:23,26 nov. 2017 16:49:39,,,,,,cypherpunks,metrics-2018
22140,Store raw descriptor contents as UTF-8 encoded Strings rather than byte[],Metrics/Library,new,metrics-team,enhancement,Medium,,,Normal,,3 may. 2017 14:06:51,28 sep. 2017 13:04:35,,,,,,karsten,metrics-2018
22196,Configure descriptor sources using method chaining,Metrics/Library,assigned,metrics-team,enhancement,Medium,,,Normal,,8 may. 2017 18:15:59,21 ago. 2017 09:50:30,,,,,,karsten,
22208,"Provide lines containing extra, unrecognized arguments",Metrics/Library,new,metrics-team,enhancement,Medium,metrics-lib 3.0.0,,Normal,,9 may. 2017 15:13:49,27 jun. 2017 13:13:12,,,,,,karsten,
22235,Add new graph showing the average onion service descriptor count per directory,Metrics/Website,new,metrics-team,enhancement,Medium,,,Normal,,12 may. 2017 09:06:21,28 may. 2017 14:26:12,,,,,,karsten,
22236,Add new graph showing directory traffic as percentage of all traffic,Metrics/Website,new,metrics-team,enhancement,Medium,,,Normal,,12 may. 2017 09:11:43,12 may. 2017 09:27:24,,,,,,karsten,
22346,"Investigate drop in Tor Browser update pings in early 2017, 2018, and 2019",Metrics/Statistics,new,metrics-team,defect,Medium,,,Normal,,23 may. 2017 20:32:23,16 may. 2019 20:49:46,,,,,,cypherpunks,
22512,"Add enums for keywords used in exit lists, Torperf measurement results, bridge pool assignments, and soon sanitized web logs",Metrics/Library,new,metrics-team,enhancement,Medium,,,Normal,,6 jun. 2017 17:54:30,22 dic. 2017 10:08:54,,,,,,karsten,metrics-2018
22583,Replace code where we iterate over a directory using a Stack with FileVisitor,Metrics/Library,new,metrics-team,enhancement,Medium,,,Normal,,12 jun. 2017 14:29:48,22 dic. 2017 10:08:54,,,,,,iwakeh,"metrics-help, metrics-2018"
22678,Look into existing Java Collections classes as replacement for BlockingIteratorImpl,Metrics/Library,assigned,metrics-team,enhancement,Medium,,,Normal,,20 jun. 2017 20:14:00,18 may. 2018 10:36:05,,,,,,karsten,metrics-2018
22696,Create a test collection for the entire API,Metrics/Library,new,metrics-team,enhancement,Medium,,,Normal,,22 jun. 2017 14:16:12,20 sep. 2017 18:24:21,,,,,,iwakeh,
22733,Use parameterized tests instead of repeated methods,Metrics/Library,new,metrics-team,enhancement,Medium,,,Normal,,27 jun. 2017 09:38:15,4 dic. 2017 09:52:24,,,,,,iwakeh,metrics-2018
22834,Decide what to do with UnparseableDescriptors while synchronizing from another instance,Metrics/CollecTor,needs_information,metrics-team,enhancement,Medium,,,Normal,,6 jul. 2017 14:01:56,22 dic. 2017 10:08:54,,,,,,iwakeh,metrics-2018
23348,Update all documentation markdown files,Metrics/Onionoo,assigned,metrics-team,enhancement,Medium,Onionoo 2.0.0,,Normal,,28 ago. 2017 15:21:17,15 mar. 2018 14:37:26,,,,,,iwakeh,metrics-2018
23367,Onion address counts ignore descriptor upload overlap,Metrics/Statistics,new,metrics-team,defect,Medium,,,Normal,,31 ago. 2017 01:45:06,28 sep. 2017 13:23:06,,#23126,,,,teor,metrics-2018
23413,"Add a draft with ""Relay and bridge users by country"" and maybe even make it the default for the ""Users"" section",Metrics/Website,new,metrics-team,enhancement,Medium,,,Normal,,5 sep. 2017 19:58:02,5 sep. 2017 20:15:20,,,,,,karsten,
23421,Use persistence functionality throughout all modules,Metrics/CollecTor,assigned,metrics-team,enhancement,Medium,,,Normal,,6 sep. 2017 17:37:07,23 may. 2018 07:21:03,,,,,,iwakeh,metrics-2018
23509,Implement family-level pages showing aggregated graphs,Metrics/Relay Search,assigned,metrics-team,enhancement,Medium,,,Normal,,14 sep. 2017 00:13:08,9 abr. 2018 15:10:10,,,3,,,cypherpunks,metrics-2018
23752,Use Java 8 features in all of Metrics' Java products  (Summary ticket),Metrics,new,metrics-team,enhancement,Medium,,,Normal,,3 oct. 2017 15:37:51,22 dic. 2017 10:08:54,,,,,,iwakeh,metrics-2018
23829,Add support for search term negation,Metrics/Onionoo,assigned,metrics-team,enhancement,Medium,,,Normal,,11 oct. 2017 21:10:26,18 ene. 2018 16:59:59,,,,,,cypherpunks,
23913,Allow parameters and qualified search terms to be specified more than once,Metrics/Onionoo,assigned,metrics-team,enhancement,Medium,,,Normal,,20 oct. 2017 00:33:30,15 sep. 2018 19:12:13,,,,,,nusenu,
23941,Determine if a relay is eligible for a t-shirt and display on details page,Metrics/Relay Search,assigned,metrics-team,enhancement,Medium,,,Normal,,22 oct. 2017 00:15:31,9 abr. 2018 15:10:10,,,0.2,,,irl,
23973,"Add ""Analysis"" as new first category next to ""News""",Metrics/Website,new,metrics-team,enhancement,Medium,,,Normal,,24 oct. 2017 14:55:46,2 mar. 2018 14:50:57,,#25404,,,,karsten,
23984,Extend Onionoo's nagios script to all known frontends,Metrics/Onionoo,new,metrics-team,enhancement,Medium,,,Normal,,25 oct. 2017 11:58:01,25 oct. 2017 11:58:01,,,,,,karsten,
24018,Automate measuring connection timeouts per exit,Metrics/Statistics,new,metrics-team,project,Medium,,,Normal,,26 oct. 2017 16:25:33,30 nov. 2017 21:59:42,,,,,,arthuredelstein,"tbb-performance, tbb-needs"
24028,Provide a modernized API for metrics-lib,Metrics/Library,assigned,metrics-team,enhancement,Medium,,,Normal,,27 oct. 2017 16:35:27,25 ene. 2018 15:51:54,,,,,,iwakeh,metrics-2018
24041,Unify Metrics' products operational configuration,Metrics,assigned,metrics-team,enhancement,Medium,,,Normal,,29 oct. 2017 08:46:53,4 abr. 2018 10:04:06,,,,,,karsten,
24042,Test descriptor parsing with fuzzed descriptors,Metrics,new,metrics-team,enhancement,Medium,,,Normal,,29 oct. 2017 10:43:06,1 nov. 2017 13:31:43,,,,,,karsten,
24045,Measure and map overloaded or over-weighted relays,Metrics/Relay Search,reopened,metrics-team,defect,Medium,,,Normal,,30 oct. 2017 01:53:31,9 abr. 2018 15:10:10,,,,,,teor,"bwauth-needs, tbb-performance, tbb-usability, performance, tbb-needs"
24074,Refactor IRC connection and authentication into an IRCManager class,Metrics/Bot,assigned,metrics-team,enhancement,Medium,,,Normal,,30 oct. 2017 15:00:42,13 feb. 2018 19:02:23,,,1,,,irl,
24076,Implement a MicroblogAccount interface that logs to the console,Metrics/Bot,assigned,metrics-team,enhancement,Medium,,,Normal,,30 oct. 2017 15:09:01,13 feb. 2018 19:06:40,,,1,,,irl,
24077,Refactor microblog accounts setup and updates into a MicroblogManager,Metrics/Bot,assigned,metrics-team,enhancement,Medium,,,Normal,,30 oct. 2017 15:09:28,13 feb. 2018 19:02:23,,,1,,,irl,
24079,metrics-bot should listen for private messages,Metrics/Bot,assigned,metrics-team,defect,Medium,,,Normal,,30 oct. 2017 15:26:53,13 feb. 2018 19:06:19,,,0.5,,,pastly,
24101,Provide percentages not just absolute numbers for country and AS information,Metrics/Bot,needs_information,metrics-team,enhancement,Medium,,,Normal,,31 oct. 2017 20:06:50,17 feb. 2018 10:08:28,,,0.1,,,arma,
24112,Update ExoneraTor's README file,Metrics/ExoneraTor,new,metrics-team,enhancement,Medium,,,Normal,,1 nov. 2017 11:08:41,1 nov. 2017 11:08:41,,,,,,iwakeh,
24166,Make descriptor reading stoppable,Metrics/Library,new,metrics-team,enhancement,Medium,,,Normal,,7 nov. 2017 21:23:55,13 feb. 2018 16:37:35,,,,,,iwakeh,metrics-2018
24222,Improve onionoo's war structure and startup,Metrics/Onionoo,assigned,metrics-team,enhancement,Medium,Onionoo 2.0.0,,Normal,,10 nov. 2017 10:10:22,15 mar. 2018 14:37:26,,,,,,iwakeh,metrics-2018
24229,Provide BGP Data Collection on Tor Metrics,Metrics/Website,assigned,metrics-team,enhancement,Medium,,,Normal,,10 nov. 2017 14:22:56,9 may. 2018 19:05:39,,,,,,iwakeh,
24293,Create new metrics-lib package with generally useful classes and functions,Metrics/Library,new,metrics-team,enhancement,Medium,,,Normal,,15 nov. 2017 08:49:17,15 nov. 2017 08:49:17,,,,,,karsten,
24328,"Make db credentials and url as well as paths (webstats, legacy, onionperf etc.)  configurable",Metrics/Website,new,metrics-team,enhancement,Medium,,,Normal,,17 nov. 2017 12:08:31,17 nov. 2017 12:08:31,,#24041,,,,iwakeh,metrics-2018
24329,"Name R, sql, and python scripts consistently",Metrics/Website,new,metrics-team,enhancement,Medium,,,Normal,,17 nov. 2017 12:10:19,17 nov. 2017 12:10:19,,,,,,iwakeh,metrics-2018
24334,Make Onionoo's results more maintainable,Metrics/Onionoo,new,metrics-team,enhancement,Medium,,,Normal,,17 nov. 2017 14:58:38,17 nov. 2017 14:59:55,,,,,,iwakeh,metrics-2018
24344,"Add an ""UnreachableIPv6"" flag to relays in consensus health",Metrics/Consensus Health,new,tom,enhancement,Medium,,,Normal,,17 nov. 2017 21:59:37,2 abr. 2018 08:48:49,,,,,,teor,IPv6
24365,Make ExoneraTor testable,Metrics/ExoneraTor,new,metrics-team,enhancement,Medium,,,Normal,,21 nov. 2017 09:35:04,21 nov. 2017 09:35:04,,,,,,iwakeh,
24370,Define guidelines for variable naming,Metrics,new,metrics-team,enhancement,Medium,,,Normal,,21 nov. 2017 14:02:54,21 nov. 2017 14:02:54,,,,,,iwakeh,
24384,Decode percent-encoded characters in qualified search terms,Metrics/Onionoo,needs_revision,metrics-team,defect,Medium,Onionoo 2.0.0,,Normal,,22 nov. 2017 09:51:26,15 mar. 2018 14:37:26,,,,,,karsten,
24412,Search parameter limit always returns 400 error,Metrics/Onionoo,reopened,metrics-team,defect,Medium,,,Normal,,26 nov. 2017 16:52:56,27 nov. 2017 10:00:33,,,,,,irl,
24422,Look at Information Architecture for Tor Metrics,Metrics/Website,new,metrics-team,task,Medium,,,Normal,,27 nov. 2017 13:13:58,11 feb. 2019 12:14:43,,#25404,21,,,irl,metrics-roadmap-2019-q2
24429,Provide fallback mirror data in Metrics,Metrics,new,metrics-team,enhancement,Medium,,,Normal,,27 nov. 2017 17:27:46,28 nov. 2017 00:32:35,,,,,,iwakeh,
24431,Provide fallback mirror lists,Metrics/CollecTor,new,metrics-team,enhancement,Medium,,,Normal,,27 nov. 2017 17:31:08,27 nov. 2017 17:31:08,,#24429,,,,iwakeh,
24434,Provide fallback list parser,Metrics/Library,new,metrics-team,enhancement,Medium,,,Normal,,27 nov. 2017 17:36:34,25 abr. 2018 14:16:08,,#24429,,,,iwakeh,
24436,Provide fallback mirror information,Metrics/Onionoo,new,metrics-team,enhancement,Medium,,,Normal,,27 nov. 2017 17:40:27,27 nov. 2017 17:40:27,,#24429,,,,iwakeh,
24458,Specify Onionoo's query and search syntax,Metrics/Onionoo,new,metrics-team,enhancement,Medium,,,Normal,,28 nov. 2017 14:08:03,12 ene. 2018 08:47:37,,,,,,iwakeh,
24532,Make metrics-web runs independent of server locale,Metrics/Website,new,metrics-team,defect,Medium,,,Normal,,5 dic. 2017 19:16:25,5 dic. 2017 19:39:45,,,,,,iwakeh,
24542,Improve logging for Exonerator,Metrics/ExoneraTor,new,metrics-team,enhancement,Medium,,,Normal,,6 dic. 2017 12:58:06,6 dic. 2017 13:22:56,,,,,,iwakeh,
24562,Define SQL coding guidelines for Metrics' products,Metrics,new,metrics-team,enhancement,Medium,,,Normal,,8 dic. 2017 11:55:34,8 dic. 2017 12:26:47,,,,,,iwakeh,
24635,Use date and timestamp classes for calculations etc.,Metrics/Website,new,metrics-team,enhancement,Medium,,,Normal,,15 dic. 2017 16:24:08,15 dic. 2017 16:24:08,,,,,,iwakeh,
24707,Define R coding guidelines for Metrics' products,Metrics,new,metrics-team,enhancement,Medium,,,Normal,,22 dic. 2017 10:38:55,12 mar. 2018 19:30:21,,,,,,iwakeh,
24811,Add Hibernating Pseudo-Flag,Metrics/Consensus Health,new,tom,enhancement,Medium,,,Normal,,6 ene. 2018 05:34:10,2 abr. 2018 08:48:49,,,,,,tom,
24830,Mashup GoodBadISPs with Onionoo to give indications of which providers are oversubscribed,Metrics/Ideas,new,metrics-team,project,Medium,,,Normal,,8 ene. 2018 17:50:19,8 ene. 2018 17:50:19,,,,,,irl,
24834,Map consensus weight vs bandwidth for each bandwidth authority's votes,Metrics/Relay Search,new,metrics-team,enhancement,Medium,,,Normal,,8 ene. 2018 23:15:41,7 jul. 2018 01:18:51,,#24674,,,,teor,tor-bwauth-needs
24837,Allow Relay Searches for Additional Flags,Metrics/Onionoo,new,metrics-team,enhancement,Medium,,,Normal,,9 ene. 2018 01:07:56,9 ene. 2018 18:06:03,,,,,,teor,
24870,Use java 8 date-time functionality in Onionoo,Metrics/Onionoo,new,metrics-team,enhancement,Medium,,,Normal,,11 ene. 2018 11:10:27,16 ago. 2018 19:34:29,,#23752,,,,iwakeh,metrics-2018
25002,Make data and results from Onionoo deterministic,Metrics/Onionoo,new,metrics-team,enhancement,Medium,,,Normal,,24 ene. 2018 15:41:12,30 ene. 2018 18:31:10,,,,,,iwakeh,
25091,Make 'out/update' deterministic across instances,Metrics/Onionoo,new,metrics-team,enhancement,Medium,,,Normal,,30 ene. 2018 18:30:14,30 ene. 2018 18:30:14,,#25002,,,,iwakeh,
25210,Measure how often tor clients fetch the consensus,Metrics/Ideas,new,metrics-team,project,Medium,,,Normal,,11 feb. 2018 16:24:01,11 feb. 2018 16:24:01,,,,,,irl,
25219,Reduce size of relay flags and align center in badges,Metrics/Bot,assigned,metrics-team,enhancement,Medium,,,Normal,,12 feb. 2018 12:22:18,13 feb. 2018 18:55:52,,,0.1,,,irl,
25221,Add heap space recommendation to tutorial,Metrics/Website,new,metrics-team,enhancement,Medium,,,Normal,,12 feb. 2018 17:21:22,12 feb. 2018 17:21:22,,,,,,iwakeh,
25240,Add an interface to the Metrics CSV files,Metrics/Bot,new,metrics-team,enhancement,Medium,,,Normal,,13 feb. 2018 19:09:00,19 jul. 2018 18:54:40,,#23936,2,,,irl,
25283,Decide when we can turn off atlas.torproject.org,Metrics/Relay Search,new,metrics-team,task,Medium,,,Normal,,16 feb. 2018 18:03:14,9 abr. 2018 15:10:10,,,,,,irl,metrics-2018
25307,Use `persist` package for writing  bridge descriptors in sanitization module,Metrics/CollecTor,assigned,metrics-team,enhancement,Medium,,,Normal,,20 feb. 2018 16:53:43,23 may. 2018 07:21:03,,,,,,iwakeh,
25309,Use java8 datetime classes in bridgedesc module,Metrics/CollecTor,new,metrics-team,enhancement,Medium,,,Normal,,20 feb. 2018 18:45:25,20 feb. 2018 18:45:25,,#23752,,,,iwakeh,metrics-2018
25358,"Add a tutorial for new LogDescriptor, i.e., WebServerAccessLog  reading",Metrics/Website,new,metrics-team,enhancement,Medium,,,Normal,,26 feb. 2018 14:25:34,23 may. 2018 07:23:03,,,,,,iwakeh,
25403,Create jsp with bgp documentation,Metrics/Website,needs_revision,metrics-team,enhancement,Medium,,,Normal,,2 mar. 2018 14:41:59,26 may. 2018 10:31:46,,#24229,,,,iwakeh,
25404,Update design to use new styleguide (bootstrap 4),Metrics/Website,new,metrics-team,project,Medium,,,Normal,,2 mar. 2018 14:49:02,2 mar. 2018 14:49:02,,,,,,irl,ux-team
25442,Use java8 datetime classes throughout o.tp.metrics.stats,Metrics/Statistics,new,metrics-team,enhancement,Medium,,,Normal,,7 mar. 2018 15:23:57,7 mar. 2018 15:23:57,,#23752,,,,iwakeh,metrics-2018
25537,Integrate Tor BSD Diversity Project's statistics into Tor Metrics,Metrics/Ideas,new,metrics-team,project,Medium,,,Normal,,18 mar. 2018 14:22:08,16 oct. 2018 12:52:41,,,,,,irl,
25570,Allow autodiscovery of the news atom feed,Metrics/Website,new,metrics-team,enhancement,Medium,,,Normal,,21 mar. 2018 16:03:36,21 mar. 2018 16:03:36,,#25404,,,,irl,ux-team
25625,Make CollecTor's file structure description part of Metrics-Web's CollecTor docs,Metrics/Website,needs_information,karsten,enhancement,Medium,,,Normal,,26 mar. 2018 11:00:10,23 nov. 2018 09:46:51,,,,,,iwakeh,
25673,allow users to set the show ___ entries value directly in the url,Metrics/Relay Search,assigned,metrics-team,enhancement,Medium,,,Normal,,29 mar. 2018 09:08:22,9 jul. 2018 12:59:40,,,,,,cypherpunks,
25689,Provide a backport to stretch for checkstyle in Debian,Metrics,assigned,metrics-team,task,Medium,,,Normal,,2 abr. 2018 08:35:07,10 jul. 2018 11:34:33,,#25217,,,,irl,"debian,packaging"
25742,"add more metadata about relays: #1 DNSSEC validation, #2 DNS server",Metrics/Onionoo,new,metrics-team,enhancement,Medium,,,Normal,,9 abr. 2018 13:25:41,10 abr. 2018 10:40:36,,,,,,cypherpunks,
25744,Resolve RS license issues,Metrics/Website,new,metrics-team,enhancement,Medium,,,Normal,,9 abr. 2018 14:57:39,2 jul. 2018 08:04:57,,,,,,iwakeh,
25748,Reduce js library number used,Metrics/Website,new,metrics-team,enhancement,Medium,,,Normal,,9 abr. 2018 15:05:15,2 jul. 2018 08:03:38,,,,,,iwakeh,
25749,Move open RS tickets to Metrics/Web component.,Metrics/Website,new,metrics-team,task,Medium,,,Normal,,9 abr. 2018 15:06:28,2 jul. 2018 08:03:38,,,,,,iwakeh,
25759,Create Ant task for fallback JSON,Metrics/Website,new,metrics-team,enhancement,Medium,,,Normal,,10 abr. 2018 08:56:00,2 jul. 2018 09:46:07,,,,,,iwakeh,
25775,Use OnionPerf to measure network partitioning,Metrics/Ideas,new,metrics-team,project,Medium,,,Normal,,11 abr. 2018 06:32:55,11 abr. 2018 06:32:55,,,,,,irl,
25777,Create a new service to help relay operators debug their relay,Metrics/Ideas,new,metrics-team,project,Medium,,,Normal,,11 abr. 2018 07:13:39,11 abr. 2018 07:55:00,,,,,,irl,
25799,Utilize all Onionoo instances,Metrics,new,metrics-team,enhancement,Medium,,,Normal,,14 abr. 2018 08:52:06,3 ago. 2018 09:12:24,,,,,,iwakeh,
25815,Speed up hourly updater performance,Metrics/Onionoo,assigned,metrics-team,enhancement,Medium,,,Normal,,16 abr. 2018 15:07:22,18 may. 2018 10:04:43,,,,,,karsten,
25924,Improve execution time of onion service statistics module,Metrics/Statistics,new,metrics-team,enhancement,Medium,,,Normal,,26 abr. 2018 09:40:16,1 feb. 2019 10:21:04,,,,,,karsten,
26030,"Delete ""Tor Messenger downloads and updates"" section",Metrics/Website,new,metrics-team,enhancement,Medium,,,Normal,,6 may. 2018 09:26:00,14 may. 2018 18:29:13,,,,,,cypherpunks,
26047,Create a static summary of the Tor Messenger statistics,Metrics/Analysis,new,metrics-team,task,Medium,,,Normal,,8 may. 2018 09:46:05,8 may. 2018 09:46:05,,#26030,,,,irl,
26051,please make it clear that exonerator has false-negatives,Metrics/ExoneraTor,assigned,metrics-team,defect,Medium,,,Normal,,8 may. 2018 16:44:09,16 may. 2018 18:39:13,,,,,,cypherpunks,
26068,better describe bridges vs. relays in the glosary,Metrics/Website,new,metrics-team,defect,Medium,,,Normal,,10 may. 2018 10:49:37,11 may. 2018 15:52:43,,,,,,cypherpunks,
26089,collect and archive DNS resolver data of tor exits,Metrics/CollecTor,new,metrics-team,enhancement,Medium,,,Normal,,12 may. 2018 23:35:47,13 may. 2018 18:01:57,,#26091,,,,cypherpunks,
26090,show tor exit DNS resolver data on RS,Metrics/Relay Search,new,metrics-team,enhancement,Medium,,,Normal,,12 may. 2018 23:36:51,12 jul. 2018 09:41:24,,,,,,cypherpunks,
26091,add tor exit DNS resolver data to onionoo,Metrics/Onionoo,new,metrics-team,enhancement,Medium,,,Normal,,12 may. 2018 23:38:09,12 jul. 2018 09:41:05,,#26090,,,,cypherpunks,
26124,Bring​ back Tor​ Weather,Metrics,new,metrics-team,enhancement,Medium,,,Normal,,17 may. 2018 19:41:18,20 jul. 2018 20:17:54,,,,,,nusenu,
26132,Fix the Expires header on relay search,Metrics/Onionoo,assigned,metrics-team,defect,Medium,,,Normal,,18 may. 2018 21:56:35,26 may. 2018 22:35:51,,,,,,teor,
26171,Explain which cells are counted for onion service traffic graphs,Metrics/Statistics,assigned,metrics-team,defect,Medium,,,Normal,,22 may. 2018 21:04:58,29 may. 2018 09:01:29,,,,,,teor,
26585,improve AS number and name coverage (switch maxmind to RIPE Stat),Metrics/Onionoo,new,metrics-team,enhancement,Medium,,,Normal,,30 jun. 2018 16:46:38,21 ago. 2018 07:58:19,,,,,,nusenu,
26597,Investigate and document additional overhead for first hop when not using guards,Metrics/Onionperf,needs_review,metrics-team,defect,Medium,,,Normal,,2 jul. 2018 11:13:17,16 may. 2019 11:07:53,,,,acute,,irl,acute-2019-q1-planned
26673,Record download times of smaller file sizes from partial completion times,Metrics/Onionperf,assigned,metrics-team,enhancement,Medium,,,Normal,,6 jul. 2018 18:06:19,16 may. 2019 11:38:33,,,,,Sponsor19,karsten,"user-experience, acute-2019-q1-planned"
26699,Use temporary files for storing descriptor files fetched from remote CollecTor server,Metrics/Library,new,metrics-team,enhancement,Medium,,,Normal,,9 jul. 2018 12:54:39,9 jul. 2018 12:54:39,,,,,,karsten,
26767,add consensus weight line/graph,Metrics/Relay Search,new,metrics-team,enhancement,Medium,,,Normal,,12 jul. 2018 10:29:49,12 sep. 2018 09:02:39,,,,,,nusenu,
26863,display onionoo and RS version on RS pages,Metrics/Relay Search,reopened,metrics-team,enhancement,Medium,,,Normal,,18 jul. 2018 21:09:51,14 ago. 2018 17:18:44,,#27064,,,,nusenu,
26898,add parameters for verified_host_names and unverified_host_names,Metrics/Onionoo,needs_information,metrics-team,enhancement,Medium,,,Normal,,22 jul. 2018 09:10:08,29 jul. 2018 20:42:22,,,,,,nusenu,
27055,Find out why syncing descriptors from collector2.tp.o did not time out,Metrics/CollecTor,new,metrics-team,defect,Medium,,,Normal,,6 ago. 2018 19:49:10,6 ago. 2018 19:49:10,,,,,,karsten,
27064,Batch merge for Relay Search patches,Metrics/Website,reopened,metrics-team,task,Medium,,,Normal,,7 ago. 2018 16:49:08,8 ago. 2018 09:02:51,,,,,,irl,
27138,display timestamp and version information on page with no results,Metrics/Relay Search,assigned,metrics-team,enhancement,Medium,,,Normal,,14 ago. 2018 12:41:07,16 may. 2019 11:20:13,,,,,,nusenu,
27153,add ipv6_as and ipv6_as_name,Metrics/Onionoo,new,metrics-team,enhancement,Medium,,,Normal,,15 ago. 2018 20:13:56,15 ago. 2018 20:13:56,,,,,,nusenu,
27154,"Do not display ""AS0"" in results or details pages",Metrics/Relay Search,assigned,metrics-team,enhancement,Medium,,,Normal,,15 ago. 2018 20:27:32,16 may. 2019 11:20:13,,,,,,nusenu,
27155,Include BGP prefix information in details documents,Metrics/Onionoo,new,metrics-team,enhancement,Medium,,,Normal,,15 ago. 2018 21:01:51,21 ago. 2018 07:57:58,,#26585,,,,nusenu,
27181,Avoid unnecessary disk writes,Metrics/Onionoo,new,metrics-team,enhancement,Medium,,,Normal,,17 ago. 2018 09:06:25,17 ago. 2018 09:06:25,,,,,,irl,
