id,Summary,Component,Status,Owner,Type,Priority,Milestone,Severity,Resolution,Actual Points,Points,Sponsor,Keywords
29707,sbws does not scale consensus bandwidths to bytes before using them,Core Tor/sbws,closed,,defect,Medium,sbws: 1.0.x-final,Normal,fixed,,,,
29724,Create a blog post about work done and future work,Core Tor/sbws,closed,juga,defect,Medium,sbws: 1.1.x-final,Normal,implemented,,1,,"no-changes-version, docs"
29750,Create 1.1.0 release,Core Tor/sbws,closed,,task,Medium,sbws: 1.1.x-final,Normal,implemented,,1,,"release, not-to-review"
29751,Create debian package for last 1.1.0 version,Core Tor/sbws,closed,juga,task,Medium,sbws: 1.1.x-final,Normal,implemented,,1,,"package, not-to-review"
29775,Document the new bandwidth file keys added in sbws 1.1.0,Core Tor/sbws,closed,juga,enhancement,Medium,sbws: 1.1.x-final,Normal,duplicate,,,,"tor-bwauth, no-changes-version, tor-spec, tor-bandwidth-file-spec, no-changes-version"
29806,"Ignore bandwidth file lines with ""vote=0""",Core Tor/Tor,closed,teor,defect,Medium,Tor: 0.3.4.x-final,Normal,fixed,0.5,1,,"tor-bwauth, 040-backport, 035-backport, 034-backport, merge-after-0403-alpha, authority-test-completed, sbws-bwauth-test-completed"
29824,CID 1444119 resource leak in BUG case in consdiff.c,Core Tor/Tor,merge_ready,,defect,Medium,Tor: 0.3.5.x-final,Normal,,0.1,0.1,,"coverity, 034-backport, 035-backport, 040-backport, consider-backport-after-0405"
29853,"sbws should show relays for diagnostics, even when MIN_REPORT has not been reached",Core Tor/sbws,closed,juga,defect,Medium,sbws: 1.1.x-final,Normal,fixed,,,,"tor-bwauth, sbws-1.0-must-moved-20181128, sbws-11x-final-removed-20190312, sbws-110-proposed, changes-version-minor"
29854,"Missing diagnostic keys in relay lines, but the data is in the header",Core Tor/sbws,closed,juga,defect,Medium,sbws: 1.1.x-final,Normal,not a bug,,,,"tor-bwauth, sbws-1.0-must-moved-20181128, sbws-11x-final-removed-20190312, sbws-110-proposed, changes-version-minor"
29897,Refactor handle_get_next_bandwidth() to use connection_dir_buf_add(),Core Tor/Tor,closed,teor,defect,Medium,Tor: 0.4.0.x-final,Normal,fixed,0.1,0.1,,"consider-backport-after-authority-test, consider-backport-after-040-stable, tor-dirauth, metrics-needs, tor-bwauth, 035-removed-20180711, 040-roadmap-proposed, 040-backport"
29913,Stop assuming that /usr/bin/python3 exists,Core Tor/Tor,closed,teor,defect,Medium,Tor: 0.4.1.x-final,Normal,fixed,0.2,0.1,,"fast-fix, python3, asn-merge, nickm-merge"
29939,"test_routerkeys: Coverity says, always check mkdir return values.",Core Tor/Tor,closed,nickm,defect,Medium,Tor: 0.4.1.x-final,Normal,fixed,0,0,,"asn-merge, coverity"
29959,Actually include the bandwidth file digest in the vote,Core Tor/Tor,closed,teor,defect,Medium,Tor: 0.4.0.x-final,Normal,fixed,0.2,0.2,,"040-must, 040-backport, fast-fix, nickm-merge"
29961,Update the Tor version for bandwidth-file-digest in torspec,Core Tor/Tor,closed,teor,defect,Medium,Tor: 0.4.0.x-final,Normal,fixed,0,0,,"040-must, 040-backport, fast-fix, tor-spec, nickm-merge"
29962,"Turn off Travis Rust caching, and see if it speeds up the builds",Core Tor/Tor,closed,teor,defect,Medium,Tor: 0.3.4.x-final,Normal,fixed,,,,"tor-ci-speed, 034-backport, 035-backport, 040-backport"
29967,CID 1444262: Null-pointer dereference in non-fatal assertion failure path,Core Tor/Tor,closed,nickm,defect,Very High,Tor: 0.4.1.x-final,Normal,fixed,0,0,,"regression, crash, asn-merge, coverity"
29979,"Don't recommend expect() in CodingStandardsRust, because it panics",Core Tor/Tor,closed,,defect,Medium,Tor: 0.4.1.x-final,Normal,fixed,0.1,0.1,,"easy, doc, asn-merge, nickm-merge"
29986,wishlist,Core Tor/Tor,closed,,defect,Medium,,Normal,invalid,,,,
