id,Summary,Sponsor,Status,Owner,Type,Priority,Milestone,Component,Severity,Keywords
24457,Integrate tor-android build files directly into tor.git,Sponsor8-can,new,,enhancement,Medium,Tor: unspecified,Core Tor/Tor,Normal,"mobile, android"
24586,Audit all state for stuff we need to reset on exit to make tor restartable.,Sponsor8,new,,enhancement,Medium,Tor: 0.4.0.x-final,Core Tor/Tor,Normal,"tor-mobile, s8-api, 034-triage-20180328, 034-included-20180405, 034-roadmap-subtask, 035-roadmap-subtask, 035-triaged-in-20180711"
24661,accept a reasonably live consensus for guard selection,Sponsor8-can,merge_ready,teor,defect,Medium,Tor: 0.3.5.x-final,Core Tor/Tor,Normal,"bootstrap, clock-skew, s8-bootstrap, s8-errors, ux, 035-backport-maybe, 034-backport-maybe-not, 033-backport-maybe-not, 033-triage-20180320, 034-roadmap-proposed, 034-triage-20180328, 034-included-20180328, 034-deferred-20180602, 035-removed-20180711"
24680,Make tor binary smaller by reducing the size of the fallback list strings,Sponsor8-can,new,,enhancement,Medium,,Core Tor/Fallback Scripts,Normal,ideas binary-size
24786,Rebuild the fallback list in 2018,Sponsor8-can,new,,task,Medium,Tor: 0.4.0.x-final,Core Tor/Fallback Scripts,Normal,"s8-bootstrap, fallback, 035-roadmap-master, 029-backport, 033-backport, 034-backport, 034-roadmap-master, 034-triage-20180328, 034-included-20180328, 031-unreached-backport-maybe, 035-triaged-in-20180711, 035-can, 032-unreached-backport-maybe"
25227,Avoid storing all Tor nodes in RAM,Sponsor8-can,new,,enhancement,Medium,Tor: unspecified,Core Tor/Tor,Normal,"tor-client, 034-triage-20180328, 034-removed-20180328"
25456,tor's systemd service should SIGHUP tor on resume/thaw after sleep/hibernate,Sponsor8-can,new,,enhancement,Medium,Tor: unspecified,Core Tor/Tor,Normal,"packaging, systemd, configuration, 034-triage-20180328, 034-removed-20180328"
25493,Improve patterns for cleaning up static variables on exit/restart,Sponsor8,new,,enhancement,Medium,Tor: 0.4.0.x-final,Core Tor/Tor,Normal,"034-triage-20180328, 034-roadmap-subtask, 034-included-20180405, 035-roadmap-subtask, 035-triaged-in-20180711"
25496,Investigate Tor on ARM64 with Orbot,Sponsor8,assigned,ahf,task,Medium,Tor: unspecified,Core Tor/Tor,Normal,"s8, s8-perf, 034-roadmap-master, 034-triage-20180328, 034-included-20180328, 034-deferred-20180602, 035-removed-20180711"
25499,Finalize controller interface for idleness,Sponsor8,assigned,ahf,task,Medium,Tor: 0.4.0.x-final,Core Tor/Tor,Normal,"035-roadmap-master, 034-triage-20180328, 034-included-20180328, 034-deferred-20180602, 035-triaged-in-20180711"
25500,Reduce client CPU usage when idle,Sponsor8,assigned,dgoulet,task,Medium,Tor: unspecified,Core Tor/Tor,Normal,"tor-client, 034-roadmap-master, 034-triage-20180328, 034-included-20180328, 035-removed-20180711"
25502,Report intermediate PT bootstrapping status,Sponsor8,assigned,ahf,project,Medium,Tor: 0.4.0.x-final,Core Tor/Tor,Normal,"s8-bootstrap, 040-roadmap-master, tor-pt"
25503,Use less space for client-side directory cache,Sponsor8,assigned,ahf,task,Medium,Tor: unspecified,Core Tor/Tor,Normal,"s8, 035-removed-20180711"
25504,Find more generic ways to handle smartlist_t/Vec<T> between C and Rust,Sponsor8-can,new,,enhancement,Medium,Tor: unspecified,Core Tor/Tor,Normal,"rust, datatypes, ffi, 035-removed-20180711"
25510,Collect feedback on mobile embedding API; resolve issues.,Sponsor8-must,assigned,nickm,project,Medium,Tor: 0.4.0.x-final,Core Tor/Tor,Normal,"roadmap, 035-roadmap-master, 034-triage-20180328, 034-included-20180328, 035-triaged-in-20180711"
25605,Add tests for Rust protover::compute_for_old_tor() and C functions it calls,Sponsor8-can,assigned,,defect,Medium,Tor: 0.3.5.x-final,Core Tor/Tor,Normal,"fast-fix, 033-triage-20180326, 033-included-20180326, 033-removed-20180409, 035-triaged-in-20180711"
25607,"On restart-in-process, do the right thing with thread-local storage",Sponsor8,assigned,nickm,defect,Medium,Tor: 0.4.0.x-final,Core Tor/Tor,Normal,"s8-api, 034-triage-20180328, 034-included-20180405, 034-roadmap-subticket, 035-roadmap-subtask, 035-triaged-in-20180711"
